head,relation,tail,label
Gmina_Perzów,part,Kępno_County,0
Enid_Stamp_Taylor,child,Isabella_Rossellini,0
Jovan_Karamata,doctoralAdvisor,Jean_Gaston_Darboux,0
Jovan_Karamata,doctoralStudent,Mihailo_Petrović,0
K.D._Kilpatrick,almaMater,Louisiana_State_University,0
Herman_Rattliff,religion,United_Church_of_Christ,0
David_Bly,religion,United_Methodist_Church,0
Jerry_Huckaby,predecessor,Eugene_McCarthy,0
Pallasca_Province,country,Bolivia,0
Ed_Wool,recordLabel,Capitol_Records,0
The_Magic_Numbers,associatedMusicalArtist,The_Jennifers,0
192.com,locationCity,London,0
Circa_(band),bandMember,Steve_Howe_(musician),0
Altered_State_(band),associatedMusicalArtist,Circa_(band),0
Galton_and_Simpson,writer,Joseph_W._Farnham,0
Jeralean_Talley,deathPlace,Georgia_(U.S._state),0
Bindiya_Goswami,deathPlace,Mumbai,0
How_They_Get_There,musicComposer,Bill_Conti,0
Trionychia,deathPlace,"Doylestown,_Pennsylvania",0
MorphOS,influenced,MiniD,0
KMLB,location,"Alexandria,_Minnesota",0
Kępno_County,almaMater,Pachaiyappa's_College,0
Timothy_Potts,child,Leto_II_Atreides,0
Clare_Nasir,deathPlace,Buckinghamshire,0
Tettigoniidae,class,Insect,0
Tapinomini,order,Lepidoptera,0
Lisa_Edelstein,product,Real_estate,0
Investcorp,subsidiary,Mitsubishi,0
Ben_Castle,instrument,Moog_synthesizer,0
Rudolf_Peierls,order,Gadiformes,0
Chlopsidae,order,Ostariophysi,0
Vivimed_Labs,industry,Aerospace_engineering,0
1968_New_Zealand_Grand_Prix,canton,Solothurn,0
"Rothwell,_West_Yorkshire",district,Solothurn,0
Myrna_Loy,birthPlace,"Shaker_Heights,_Ohio",0
Jamie_Babbit,child,Melissa_Newman,0
Elizabeth_(film),education,Washington_(state),0
Donald_G._Brotzman,religion,Southern_Baptist_Convention,0
Róbert_Petrovický,architect,Frederick_Law_Olmsted,0
The_Greatest_Songs_of_the_Seventies,field,Video,0
Clara_Williams,hometown,Washington_(state),0
The_Portland_Cello_Project,genre,Grunge,0
Dave_Krusen,associatedBand,Alice_in_Chains,0
Dave_Krusen,associatedMusicalArtist,Alice_in_Chains,0
Happenings_Ten_Years_Time_Ago,producer,Jimmy_Page,0
La_the_Darkman,hometown,Georgia_(U.S._state),0
River_Vyrnwy,city,Shrewsbury,0
Cass_Business_School,city,Bristol,0
Greenwich,leftTributary,River_Vyrnwy,0
John_Kendrew,almaMater,University_College_London,0
French_River_(Ontario),part,Georgian_Bay,0
Route_7_(Paraguay),department,Vienne,0
Fabian_Bourzat,country,Belarus,0
Neo_soul,stylisticOrigin,Heavy_metal_music,0
Yusaf_Khan,governmentType,Municipal_council,0
A_Woman_of_Mystery,class,Agaricomycetes,0
Agaricomycetes,class,Phallomycetidae,0
The_Sum_of_All_Fears_(film),starring,Billy_Bob_Thornton,0
Amsterdam-Zuid,capital,Amsterdam,0
X-Men:_The_Last_Stand,starring,Jodie_Foster,0
List_of_Playboy_Playmates_of_1977,birthPlace,"Spokane,_Washington",0
Susan_Peters,deathPlace,"Carson_City,_Nevada",0
Algernon_Charles_Swinburne,influencedBy,"Edward_Plunkett,_18th_Baron_of_Dunsany",0
Halifax_Regional_Council,leader,Jack_Lew,0
Stade_du_28_Septembre,isPartOf,Conakry,0
Stade_du_28_Septembre,timeZone,Coordinated_Universal_Time,0
British_Isles,country,Malawi,0
Roubaix,isPartOf,Maseru_District,0
"Minnehaha_County,_South_Dakota",countySeat,"Frankfort,_Indiana",0
"Williamston,_North_Carolina",largestCity,"Frankfort,_Indiana",0
Richard_Warwick,country,Trinidad_and_Tobago,0
"Trinity_Christian_School_(Sharpsburg,_Georgia)",state,Washington_(state),0
Diabolical_Masquerade,bandMember,Laibach_(band),0
"Carson_City,_Nevada",isPartOf,Washington_(state),0
Blue_and_Green_Lines_(Cleveland),place,Picardy,0
Capture_of_Fricourt,commander,Philip_VI_of_France,0
Communist_Party_of_the_Peoples_of_Spain,country,Slovakia,0
CK5,related,Great_Lakes_Twa,0
Timothy_Bottoms,starring,Moira_Kelly,0
Bernard_L._Austin,award,Nicaragua,0
Saints_and_Sinners_(1949_film),license,BSD_licenses,0
Vanajan_Autotehdas,country,Finland,0
Făget,leaderName,Social_Democratic_Party_(Romania),0
Robert_Atkins_(nutritionist),birthPlace,"East_Lansing,_Michigan",0
John_Rich_(director),knownFor,Alphabet_Inc.,0
Norman_Lamb_(U.S._politician),almaMater,University_of_Michigan,0
Bilhorod-Dnistrovskyi,type,Kabushiki_gaisha,0
Langelurillus,politicalPartyInLegislature,Scottish_National_Party,0
Chris_Townsend_(footballer),politicalPartyInLegislature,Scottish_Green_Party,0
His_Private_Life_(1928_film),writer,Waldemar_Young,0
Max_Dehn,doctoralStudent,Victor_Weisskopf,0
Hermine_Sterler,birthPlace,Wrocław,0
Karl_Friedrich_Bonhoeffer,almaMater,University_of_Göttingen,0
Sewanee:_The_University_of_the_South,state,Louisiana,0
Jango_Fett,occupation,Jedi,0
Association_of_Presbyterian_Colleges_and_Universities,series,Star_Wars,0
Jango_Fett,lastAppearance,Star_Wars:_The_Clone_Wars_(2008_TV_series),0
Haitian_Creole,arrondissement,Cayenne,0
Villajoyosa_CF,occupation,Mineralogy,0
Allan_Burns,occupation,Optics,0
Before_I_Self_Destruct,artist,Eminem,0
Marko_Babić_(footballer),capital,Ibiza_(town),0
"Sharpsburg,_Pennsylvania",largestCity,Ibiza_(town),0
Nainital_Bank,city,Barcelona,0
CAMI_Automotive,owner,General_Motors,0
CAMI_Automotive,owningCompany,General_Motors,0
Libourne,part,"Langon,_Gironde",0
"Langon,_Gironde",part,Libourne,0
William_Neale_Lockington,deathPlace,Warwickshire,0
Blind_Spot_(Homeland),genre,Modernism,0
Paul_Doumer,birthPlace,Pas-de-Calais,0
Paul_Doumer,deputy,Pierre-Étienne_Flandin,0
Paul_Doumer,president,Albert_François_Lebrun,0
Paul_Doumer,predecessor,Albert_François_Lebrun,0
Pat_Buchanan,occupation,Priest,0
Ken_Berry_(ice_hockey),deathPlace,British_Columbia,0
Ghost_Whisperer,director,John_Gray_(director),0
Ghost_Whisperer,starring,Michelle_Johnson_(actress),0
Universal_Soldier:_The_Return,director,Bob_Fosse,0
Star_80,producer,Daniel_Melnick,0
Universal_Soldier:_The_Return,writer,Bob_Fosse,0
Universal_Soldier:_The_Return,editing,Alan_Heim,0
"Torrent,_Valencia",leaderParty,Spanish_Socialist_Workers'_Party,0
Paterna,isPartOf,Province_of_Huesca,0
Province_of_Huesca,isPartOf,Hoya_de_Huesca/Plana_de_Uesca,0
Alexsandro_Ribeiro_da_Silva,residence,Maceió,0
Danilo_Pereira_da_Silva,almaMater,University_of_Brasília,0
Thomson_Mason,birthPlace,Kingdom_of_Great_Britain,0
The_Stone_Idol,genre,Peer-to-peer_file_sharing,0
Leeds,isPartOf,North_East_England,0
Seoul_Capital_Area,routeEnd,"Olympia,_Washington",0
Daniel_Melnick,restingPlace,"Quogue,_New_York",0
Horst_Köhler,successor,Jürgen_Trittin,0
Roman_Herzog,president,Horst_Köhler,0
"San_Blas,_Nayarit",isPartOf,Zacatecas,0
Johann_Eduard_Erdmann,influencedBy,Ludwig_Feuerbach,0
To_Rome_with_Love_(film),cinematography,Gordon_Willis,0
Suresh_Unnithan,type,Castle,0
Alan_Brennert,largestCity,"Navarre,_Florida",0
The_Mystic,writer,"George_Marion,_Jr.",0
Avalanche_Express,starring,Myrna_Loy,0
The_Unholy_(1988_film),starring,Timothy_Bottoms,0
Lost_Cat_Corona,cinematography,Robert_Surtees_(cinematographer),0
The_Front,director,Woody_Allen,0
Vicky_Cristina_Barcelona,starring,Woody_Allen,0
Paul_Begaud,starring,Chester_Conklin,0
"Greeley,_Colorado",routeJunction,Baltimore,0
Love_Me_Tonight,director,Leo_McCarey,0
We_Faw_Down,writer,Leo_McCarey,0
We_Faw_Down,starring,Max_Davidson,0
Watching_the_Wheels,recordLabel,Apple_Records,0
Edward_Tomkins,birthPlace,"Muscatine,_Iowa",0
Cucurbitaceae,family,Oleaceae,0
Picrodendraceae,order,Ericales,0
"Southwick,_Massachusetts",countySeat,"Springfield,_Massachusetts",0
"Southwick,_Massachusetts",largestCity,"Springfield,_Massachusetts",0
Berserk!,starring,John_Wayne,0
The_Big_Broadcast_of_1938,starring,Montgomery_Clift,0
River_Beat,musicComposer,Dimitri_Tiomkin,0
55_Days_at_Peking,editing,Christian_Nyby,0
Opportunity_Knocks_(film),cinematography,Joseph_A._Valentine,0
Gresham's_School,ideology,Basque_nationalism,0
Thomas_M._Disch,influencedBy,Jonathan_Swift,0
Carlo_Penco,mainInterest,Economics,0
"Frederick_Campbell,_3rd_Earl_Cawdor",parent,Philip_VI_of_France,0
"William_Palmer,_2nd_Earl_of_Selborne",successor,John_II_of_France,0
I_Cover_the_Waterfront,starring,Brian_Donlevy,0
Riverhead_Books,parentCompany,Random_House,0
Fresh_Breeze,regionServed,Germany,0
Toll_Group,industry,Mass_media,0
Living_TV_Group,subsidiary,Sky_Italia,0
Mario_Erb,cinematography,Ted_Tetzlaff,0
Biomechanics,team,Celaya_F.C.,0
Nat_Wolff,team,Spain_national_under-21_football_team,0
Heavenly_Action,bandMember,The_Magnetic_Fields,0
Maxim_Shabalin,city,"Écublens,_Vaud",0
Kongos_(band),birthPlace,French_Indochina,0
Nicolette_Larson,genre,Indie_folk,0
"Henderson,_New_York",countySeat,"Moulton,_Alabama",0
"Birmingham,_Michigan",largestCity,"Moulton,_Alabama",0
"Tutin,_Serbia",birthPlace,Chinon,0
Drew_Carey's_Green_Screen_Show,location,London,0
"Robert_Darcy,_4th_Earl_of_Holderness",region,London,0
Westroads_Mall_shooting,birthPlace,"Omaha,_Nebraska",0
Francisco_Rodríguez_Araya,residence,Zürich,0
38_Studios,award,Inkpot_Award,0
Slovakia,commander,Larbi_Ben_M'hidi,0
Dean_Richards_(footballer),birthPlace,Leeds,0
Jon_Gruden,region,Picardy,0
Floor_Jansen,bandMember,Tuomas_Holopainen,0
Irene_Jansen,bandMember,Floor_Jansen,0
Engel_(band),hometown,Finland,0
Marimekko,location,Finland,0
Paddy_Prendergast_(racehorse_trainer),relation,Wolfram_Freiherr_von_Richthofen,0
"Belmar,_New_Jersey",governmentType,Borough_(New_Jersey),0
P.O.W_(Bullet_for_My_Valentine_song),bandMember,Huey_Lewis,0
Huey_Lewis,bandMember,Huey_Lewis_and_the_News,0
Huey_Lewis,formerBandMember,Huey_Lewis_and_the_News,0
Dark_Horse_(George_Harrison_song),recordLabel,Chrysalis_Records,0
"Gmina_Górzno,_Kuyavian-Pomeranian_Voivodeship",part,Aleksandrów_County,0
"Gmina_Górzno,_Kuyavian-Pomeranian_Voivodeship",part,Brodnica_County,0
"Gmina_Górzno,_Kuyavian-Pomeranian_Voivodeship",part,Golub-Dobrzyń_County,0
Zeist,routeJunction,"Barstow,_California",0
Babe_Dye,routeJunction,Las_Vegas,0
Movement_for_the_Autonomies,country,Peru,0
Sutcliffe_Jügend,foundedBy,Peter_Rehberg,0
Sédatifs_en_fréquences_et_sillons,ground,Lerkendal_Stadion,0
Warren_Ellis,influencedBy,J._G._Ballard,0
William_Harrison_Graham,manufacturer,Saab_Group,0
U.S._Route_70,routeJunction,"Lake_City,_Florida",0
Shut_Out_(horse),routeJunction,"Knoxville,_Tennessee",0
The_Scooby-Doo/Dynomutt_Hour,series,Winnie-the-Pooh,0
Snorks,voice,Ron_Feinberg,0
The_Scooby-Doo/Dynomutt_Hour,voice,Bud_Luckey,0
Arnold_Naudain,battle,War_of_1812,0
Home_Alone_2:_Lost_in_New_York,starring,Corey_Feldman,0
Home_Alone_(franchise),writer,Chris_Columbus_(filmmaker),0
Hungry_Ghosts_(album),format,Compact_disc,0
What's_Going_On_(song),writer,Cyndi_Lauper,0
Hat_Full_of_Stars,musicalArtist,Cyndi_Lauper,0
Hat_Full_of_Stars,musicalBand,Cyndi_Lauper,0
Change_of_Heart_(Cyndi_Lauper_song),subsequentWork,All_Through_the_Night_(Cyndi_Lauper_song),0
Tim_Curry,spouse,Vanessa_Marcil,0
She_Bop,producer,Cyndi_Lauper,0
Castle_Keep,starring,Cyndi_Lauper,0
Lalit_Kala_Akademi,starring,Peter_Falk,0
In_Concert_Volume_Two_(Amy_Grant_album),recordLabel,Myrrh_Records,0
Jeff_Martin_(writer),leaderParty,Socialist_Party_(France),0
Ralph_S._Phillips,spouse,G._E._Smith,0
"Wheatland_County,_Alberta",isPartOf,Centre-Val_de_Loire,0
Washington_(state),countySeat,"Kelso,_Washington",0
Victor_Aloysius_Meyers,countySeat,"Martinsville,_Virginia",0
"Isabella_d'Este,_Duchess_of_Parma",countySeat,"Monahans,_Texas",0
The_Cherry_People,countySeat,"Corsicana,_Texas",0
Eliza_Ann_Otis,largestCity,"Corsicana,_Texas",0
Que_Estés,countySeat,"Union_City,_Tennessee",0
Que_Estés,largestCity,"Union_City,_Tennessee",0
Interstate_94_in_North_Dakota,countySeat,"Brownsville,_Tennessee",0
Interstate_94_in_North_Dakota,largestCity,"Brownsville,_Tennessee",0
"Philip_William,_Prince_of_Orange",countySeat,"Dupree,_South_Dakota",0
"Philip_William,_Prince_of_Orange",largestCity,"Dupree,_South_Dakota",0
"Warren_County,_Georgia",state,South_Carolina,0
"Abbeville_County,_South_Carolina",countySeat,"Darlington,_South_Carolina",0
Kajang_Dispersal_Link_Expressway,countySeat,"Guymon,_Oklahoma",0
Kajang_Dispersal_Link_Expressway,largestCity,"Guymon,_Oklahoma",0
Stefan_Schmidt,countySeat,"Alva,_Oklahoma",0
Cheltenham_College,isPartOf,"Hampden_County,_Massachusetts",0
Tension_at_Table_Rock,starring,Robert_Middleton,0
Mohamed_Hadid,province,Metropolitan_City_of_Rome_Capital,0
2003_German_Grand_Prix,locationCountry,Germany,0
He_Has_Left_Us_Alone_but_Shafts_of_Light_Sometimes_Grace_the_Corner_of_Our_Rooms...,countySeat,"Portales,_New_Mexico",0
"Statesville,_North_Carolina",largestCity,"Portales,_New_Mexico",0
Hermann_Schwarz,doctoralStudent,Arthur_Moritz_Schoenflies,0
Max_Dehn,doctoralStudent,Hermann_Schwarz,0
Uganda_Christian_University,countySeat,"Elko,_Nevada",0
Haddaway,largestCity,"Elko,_Nevada",0
Charing_Cross_Hospital,borough,Greenwich,0
